Date,R.A._ICRF,DEC_ICRF,delta,deldot,R.A._Ecl,DEC_Ecl,Opposition,x_ICRF,y_ICRF,z_ICRF,x_Ecl,y_Ecl,z_Ecl,x_Pol,y_Pol
01/02/1980,178.36342,3.07012,9.13746304047096,-27.8706587,177.27721984570857,2.1659830629002284,3.0,-9.12062641804843,0.2605897975445187,0.4893848340371867,-9.12062641804843,0.4337525113010433,0.3453452146909471,9.130934645405304,3.0940711425990974
01/03/1980,178.37263,3.07126,9.12140200233371,-27.7462037,177.28520934488745,2.1706883338936724,2.0,-9.104626953133106,0.2586679594890719,0.48870586163187085,-9.104626953133106,0.43171917962165207,0.3454867326054607,9.114856740825443,3.094210585665701
01/04/1980,178.38017,3.07313,9.10541529951881,-27.6132158,177.29137716101397,2.175399803079932,2.0,-9.088687632295278,0.25701810127230906,0.488146079460283,-9.088687632295278,0.4299827957174791,0.34562941810709413,9.098853119050235,3.094318234365235
01/05/1980,178.38604,3.07572,9.08950785624181,-27.4717546,177.29572726703748,2.180108283428398,2.0,-9.072813622722594,0.2556389438217205,0.4877035640864493,-9.072813622722594,0.42854142096377085,0.3457720152633268,9.08292875575617,3.094394158038745
01/06/1980,178.39022,3.07903,9.07368461169724,-27.3215799,177.29824132178285,2.184805818839894,2.0,-9.0570099036353,0.25453237717573146,0.487377991883778,-9.0570099036353,0.42739666070579896,0.3459134753387398,9.06708863418299,3.0944380365723365
01/07/1980,178.39272,3.08307,9.0579506039327,-27.1627781,177.29892450818997,2.189505550796311,2.0,-9.041281573413997,0.253695546883978,0.4871706302934546,-9.041281573413997,0.426546400195302,0.3460560966226599,9.05133770893977,3.09444996042538
01/08/1980,178.39354,3.08782,9.04231078641795,-26.9953953,177.29778479064925,2.1941891280514865,2.0,-9.025633827521977,0.25312720219080975,0.48707801138262147,-9.025633827521977,0.4259881124224113,0.3461971948704774,9.035681040211314,3.0944300686027066
01/09/1980,178.39268,3.09329,9.02677013054134,-26.8193635,177.29481819068272,2.19886572541195,2.0,-9.010071595806506,0.25282609979560927,0.4871014179165339,-9.010071595806506,0.4257211669355326,0.34633844155277593,9.020123539815636,3.0943782916667786
01/10/1980,178.39013,3.09949,9.0113336805856,-26.6345379,177.29001156527949,2.203540547665253,2.0,-8.99459980847132,0.25279258387260434,0.4872421347165647,-8.99459980847132,0.4257463905807538,0.3464808785656186,9.004670216262493,3.094294400228786
01/11/1980,178.38591,3.10639,8.99600648683098,-26.4409793,177.28339520574315,2.2081940260219426,2.0,-8.979223845901315,0.2530223131308005,0.48749517470455056,-8.979223845901315,0.4260578165561958,0.34662165721958027,8.989326233809262,3.094178922971707
01/12/1980,178.38001,3.11401,8.98079367815764,-26.2384386,177.27495199336823,2.2128405461942813,2.0,-8.963948581684681,0.2535156700479403,0.4878634230905155,-8.963948581684681,0.4266569434485238,0.34676327250245903,8.974096629883125,3.0940315611177716
01/13/1980,178.37243,3.12234,8.96570041081847,-26.0269843,177.26468592656914,2.217470947959264,2.0,-8.948779188161778,0.2542714925564429,0.4883450687231754,-8.948779188161778,0.4275419846471824,0.3469045249590621,8.958986611615927,3.093852384452473
01/14/1980,178.36317,3.13138,8.95073192289046,-25.8062812,177.25259702493767,2.2220852487753247,2.0,-8.933720806733904,0.25528864009937163,0.4889398869148348,-8.933720806733904,0.42871180433596534,0.34704566212975335,8.94400141233482,3.0936413933177556
01/15/1980,178.35225,3.14112,8.93589362410907,-25.5761088,177.23870762824905,2.226682241691614,2.0,-8.918778897638756,0.2565628893830815,0.48964611733182783,-8.918778897638756,0.43016182749817994,0.3471867488688984,8.92914644424667,3.0933989776162494
01/16/1980,178.33965,3.15156,8.92119101643854,-25.3364304,177.22299942777948,2.231254004750738,2.0,-8.903958722759329,0.25809627900025073,0.4904635826929596,-8.903958722759329,0.43189385398780245,0.3473268116189011,8.91442725236537,3.093124817800443
01/17/1980,178.3254,3.16269,8.90662957956728,-25.0871838,177.20550393700617,2.2358033110185307,2.0,-8.88926580516377,0.25988309771253354,0.49139056593741404,-8.88926580516377,0.4339019608384078,0.34746654680636396,8.899849294593325,3.092819463884271
01/18/1980,178.30949,3.17452,8.89221487121173,-24.8283732,177.18620803901484,2.240335393119784,2.0,-8.874705369081669,0.2619238858194597,0.4924284778821064,-8.874705369081669,0.4361872049556722,0.34760703391187586,8.885418091782403,3.092482686934394
01/19/1980,178.29194,3.18703,8.87795235866586,-24.5601191,177.165138068264,2.2448398836774346,2.0,-8.860282916724712,0.2642145684318599,0.4935740878179541,-8.860282916724712,0.4387445625998443,0.3477469297147435,8.871139168991471,3.0921149465738176
01/20/1980,178.27275,3.20021,8.86384749538096,-24.2825162,177.14229804578548,2.249307647136741,2.0,-8.846003736010182,0.26675420649382736,0.49482574426061476,-8.846003736010182,0.4415725152814311,0.3478850925424271,8.857018030000733,3.091716312982785
01/21/1980,178.25194,3.21407,8.84990556254536,-23.9959583,177.1177023657089,2.2537558458899927,2.0,-8.831872839342898,0.2695387997015399,0.49618489608608524,-8.831872839342898,0.4446679691226909,0.3480244429415952,8.843059846743461,3.091287037386254
01/22/1980,178.22953,3.22859,8.8361315980886,-23.7009118,177.0913773711863,2.258174122812045,2.0,-8.817895234702384,0.2725644009348447,0.4976483657119829,-8.817895234702384,0.44802603874224123,0.3481636356107772,8.829269715077123,3.090827579558959
01/23/1980,178.20552,3.24376,8.82253045922798,-23.3975085,177.06332709233791,2.2625533532215774,2.0,-8.804075548260325,0.27583018153404026,0.4992145385353115,-8.804075548260325,0.45164532160768567,0.3483015188023385,8.815652542835695,3.090338009839766
01/24/1980,178.17994,3.25958,8.80910685022386,-23.0862233,177.03357908062858,2.266905508215735,2.0,-8.790418289536287,0.27933073747038606,0.5008833524395536,-8.790418289536287,0.4555208349106912,0.3484401851237923,8.802212956754216,3.0898188090924523
01/25/1980,178.1528,3.27604,8.79586524219397,-22.7672639,177.00214653860243,2.271225442856161,2.0,-8.776927708206376,0.2830637877573405,0.5026532162591311,-8.776927708206376,0.459649852957801,0.34857908203312116,8.788955454569384,3.08927020774488
01/26/1980,178.12412,3.29314,8.78280997703925,-22.4409943,176.96904785622576,2.275521162598214,2.0,-8.763607868053684,0.28702556025874304,0.504524088152291,-8.763607868053684,0.4640288982378008,0.3487196716102473,8.775884324865057,3.0886925267625114
